Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
02009101,Aile Noire - Mistral le Tourbillon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1300,400,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Mistral le Tourbillon"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; l'ATK/DEF de la cible deviennent la moitié de son ATK/DEF actuelles.",Supports archetypes /Blackwing,,,Summon/Ignition,
49003716,Aile Noire - Bora la Lance,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1700,800,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Bora la Lance"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",Supports archetypes /Blackwing,,,Summon/Continuous,
22835145,"Aile Noire - Blizzard, la Tempête d'Extrême Nord",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 2,1300,0,,,,"Non Invocable Spécialement. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Aile Noire"" de max. Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible en Position de Défense.",Supports archetypes /Blackwing,,Activates upon Normal Summon,Summon/Trigger,
58820853,Aile Noire - Shura la Flamme Bleue,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1800,1200,,,,"Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Aile Noire"" avec max. 1500 ATK depuis votre Deck, mais ses effets sont annulés.",Supports archetypes /Blackwing,,,Trigger,
11613567,Aile Noire - Elphin le Corbeau Funeste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 6,2200,1200,,,,"Si vous contrôlez un monstre ""Aile Noire"", vous pouvez Invoquer Normalement cette carte sans Sacrifice. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; changez la position de combat de la cible.",Supports archetypes /Blackwing,,Changes battle positions,Summon/Trigger,
46710683,Aile Noire - Mistral le Bouclier d'Argent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 2,100,1800,,,,Si cette carte sur le Terrain est détruite et envoyée au Cimetière : réduisez les prochains dommages de combat que vous allez recevoir ce tour à 0.,,,Activates from your Graveyard,Trigger,
09109991,Aile Noire - Foehn la Chaîne d'Acier (Actualisé de : Aile Noire - Foehn la Chaîne de Fer),Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 2,500,800,,,,Cette carte peut attaquer directement votre adversaire. Si cette carte inflige des dommages de combat à votre adversaire par une attaque directe : ciblez 1 monstre en Position d'Attaque contrôlé par votre adversaire ; changez la cible en Position de Défense.,,,Changes battle positions,Continuous/Trigger,
26775203,Aile Noire - Ghibli le Vent Flamboyant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 3,0,1600,,,,"Lorsque votre adversaire déclare une attaque directe : vous pouvez Invoquer Spécialement cette carte depuis votre main. Une fois par tour : jusqu'à la fin de ce tour, vous pouvez échanger l'ATK et la DEF d'origine de cette carte.",,,Activates from your hand/Activates upon attack declaration,Trigger/Ignition,
52869807,Aile Noire - Rafale la Bourrasque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 2,900,1400,,,,"Si vous ne contrôlez aucune carte, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si un monstre de votre adversaire attaque un monstre ""Aile Noire"" que vous contrôlez : le monstre attaquant perd 300 ATK durant la Damage Step uniquement.",Supports archetypes /Blackwing,,,Summon/Continuous,
41902352,Aile Noire - Kochi l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 4,700,1500,,,,"Si cette carte a été Invoquée Spécialement, elle ne peut pas être utilisée comme Matériel de Synchro.",,,Activates upon Special Summon,Condition,
