Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
32710364,Bête Cristalline : Escarboucle de Rubis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,300,300,,,,"Lorsque cette carte est Invoquée Spécialement : vous pouvez Invoquer Spécialement autant de Cartes Monstre ""Bête Cristalline"" que possible depuis vos Zones Magie & Piège. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Crystal Beast,,Activates upon Special Summon/Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Trigger/Unclassified,
32933942,Bête Cristalline : Chat d'Améthyste,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 3,1200,400,,,,"Cette carte peut attaquer directement votre adversaire, mais lorsqu'elle utilise cet effet, les dommages de combat qu'elle inflige à votre adversaire sont divisés par deux. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Continuous/Unclassified,
68215963,Bête Cristalline : Tortue d'Émeraude,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Aqua/Effet],,,,,Niveau 3,600,2000,,,,"Une fois par tour : vous pouvez cibler 1 monstre que vous contrôlez qui a attaqué ce tour ; changez la cible en Position de Défense. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Changes battle positions/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Ignition/Unclassified,
95600067,Bête Cristalline : Tigre de Topaze,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1600,1000,,,,"Si cette carte attaque un monstre de l'adversaire, elle gagne 400 ATK durant la Damage Step uniquement. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Continuous/Unclassified,
69937550,Bête Cristalline : Mammouth d'Ambre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1700,1600,,,,"Lorsqu'un autre monstre ""Bête Cristalline"" que vous contrôlez est ciblé par une attaque : vous pouvez transférer la cible de l'attaque sur cette carte. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Crystal Beast,,Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Trigger/Unclassified,
21698716,Bête Cristalline : Aigle de Cobalt,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1400,800,,,,"Une fois par tour : vous pouvez cibler 1 carte ""Bête Cristalline"" que vous contrôlez ; placez la cible au-dessus du Deck. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",Supports archetypes /Crystal Beast,,Activates if destroyed by battle/Activates if destroyed by card effect/Places cards from the player's field on the top of the Deck/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Ignition/Unclassified,
95326659,Balise de Cristal,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez Spécialement 1 monstre ""Bête Cristalline"" depuis votre Deck. Vous devez avoir min. 2 cartes ""Bête Cristalline"" dans votre Zone Magie & Piège pour activer et résoudre cet effet.",Supports archetypes /Crystal Beast,,,Effect/Condition,
35486099,Bénédiction du Cristal,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez max. 2 monstres ""Bête Cristalline"" dans votre Cimetière ; placez les cibles face recto dans votre Zone Magie & Piège comme Magies Continues.",Supports archetypes /Crystal Beast,,Places cards from Graveyard in Spell & Trap Zone,Effect,
72881007,Abondance du Cristal,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 4 cartes ""Bête Cristalline"" depuis votre Zone Magie & Piège au Cimetière ; envoyez autant de cartes sur le Terrain que possible au Cimetière, puis Invoquez Spécialement autant de monstres ""Bête Cristalline"" que possible depuis votre Cimetière, inférieur ou égal au nombre de cartes envoyées depuis le Terrain de votre adversaire au Cimetière par l'effet de cette carte.",Supports archetypes /Crystal Beast,,Sends from field to Graveyard/Sends from field to Graveyard for cost/Sends from your field to your Graveyard/Sends from your opponent's field to your opponent's Graveyard,Effect,
08275702,Promesse du Cristal,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 carte ""Bête Cristalline"" dans votre Zone Magie & Piège ; Invoquez Spécialement la cible.",Supports archetypes /Crystal Beast,,,Effect,
