Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
03643300,Le Pêcheur Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Effet],,,,,Niveau 5,1850,1600,,,,"Tant que ""Umi"" est sur le Terrain, cette carte n'est pas affectée par les effets de Magie et ne peut pas être ciblée par des attaques, mais elle n'empêche pas votre adversaire de vous attaquer directement.",Umi,,,Continuous,
35800511,Gantelet Cassâme Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,400,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou Terrain à la cible. Il gagne 400 DEF. Durant la Damage Step de chaque joueur, lorsqu'un monstre ""Samouraï Supralourd"" en Position de Défense que vous contrôlez combat un monstre de votre adversaire, et que vous n'avez aucune Carte Magie/Piège dans votre Cimetière : vous pouvez envoyer cette carte depuis votre main au Cimetière ; jusqu'à la fin de ce tour, la DEF de votre monstre combattant devient le double de sa DEF d'origine.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field/Sends itself from hand to Graveyard for cost,Ignition/Continuous-like/Quick,
62895219,Soprano la Chanteuse de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,1400,,,,"Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre ""Musique"" (""Soprano la Chanteuse de la Musique"" exclu) dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser cet effet de ""Soprano la Chanteuse de la Musique"" qu'une fois par tour. Une fois par tour : vous pouvez Invoquer par Fusion 1 Monstre de Fusion ""Musique"" depuis votre Extra Deck, en utilisant des monstres que vous contrôlez (cette carte incluse) comme Matériels de Fusion.",Supports archetypes /Melodious,,Adds from Deck to hand/Uses cards on the player's field as Fusion Materials/Uses itself as a Fusion Material,Trigger/Condition/Ignition,
34688023,Scie du Lutin Tranchant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,500,1000,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez envoyer 1 monstre ""Peluchimal"" depuis votre main au Cimetière ; piochez 2 cartes, puis placez 1 carte depuis votre main soit au-dessus soit au-dessous de votre Deck. Vous ne pouvez utiliser cet effet de ""Scie du Lutin Tranchant"" qu'une fois par tour.",Supports archetypes /Fluffal,,Sends from your hand to your Graveyard/You draw cards/Places cards from the player's hand on the top of the Deck/Places cards from the player's hand on the bottom of the Deck,Trigger/Condition,
70458081,Rhinotonnerre Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 3,200,1800,,,,"Les monstres contrôlés par votre adversaire ne peuvent pas cibler de monstres ""Potartiste"" face recto (celui-ci exclu) avec une attaque. Si une ou plusieurs cartes ""Potartiste"" que vous contrôlez (""Rhinotonnerre Potartiste"" exclu) vont être détruites au combat ou par un effet de carte tant que cette carte est dans votre Cimetière, vous pouvez bannir cette carte à la place.",Supports archetypes /Performapal,,Activates from your Graveyard,Continuous/Unclassified,
70479321,Goritambour Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 5,1600,900,,,,"S'il n'y a aucun monstre sur le Terrain, vous pouvez Invoquer Normalement cette carte sans Sacrifice. Si cette carte est Invoquée Normalement sans Sacrifice, son Niveau devient 4. Une fois par tour, lorsqu'une attaque impliquant un monstre que vous contrôlez et un monstre de votre adversaire est déclarée : vous pouvez cibler le monstre que vous contrôlez ; jusqu'à la fin de la Battle Phase, il gagne 600 ATK.",,,Activates upon attack declaration,Pendulum Effect /Trigger-like/Monster Effect/Summon/Unclassified/Trigger,
43268675,Opéra la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,2300,1000,,,,"Ne peut pas attaquer le tour où elle a été Invoquée Normalement ou retournée face recto. Si cette carte est envoyée au Cimetière comme Matériel de Fusion pour une Invocation Fusion : vous pouvez activer cet effet ; le reste de ce tour, les monstres ""Musique"" que vous contrôlez ne peuvent être détruits ni au combat ni par des effets de carte.",Supports archetypes /Melodious,,Activates from your Graveyard/Activates if used as Fusion Material,Continuous/Trigger,
79531196,Rose de Cristal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 2,500,500,,,,"Une fois par tour : vous pouvez envoyer 1 monstre ""Chevalier-Gemmes"" ou ""Musique"" depuis votre main ou Deck au Cimetière, et si vous le faites, le nom de cette carte devient le nom du monstre envoyé jusqu'à la End Phase. Si cette carte est dans votre Cimetière : vous pouvez bannir 1 Monstre de Fusion depuis votre Cimetière ; Invoquez Spécialement cette carte en Position de Défense. Vous ne pouvez utiliser cet effet de ""Rose de Cristal"" qu'une fois par tour.",Supports archetypes /Gem-Knight/Melodious,,Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard/Activates from your Graveyard,Ignition/Condition,
27660735,Dé aux Trois Yeux Vitesseroid,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Syntoniseur／Effet],,,,,Niveau 3,300,1500,,,,"Durant le tour de votre adversaire : vous pouvez bannir cette carte depuis votre Cimetière ; ce tour, annulez la prochaine attaque d'un monstre contrôlé par votre adversaire (ceci est un Effet Rapide).",,,Activates from your Graveyard,Quick,
53054833,Double Yoyo Vitesseroid,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1400,1400,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Vitesseroid"" de max. Niveau 3 dans votre Cimetière ; Invoquez-le Spécialement.",Supports archetypes /Speedroid,,Activates upon Normal Summon,Trigger,
