Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
02009101,Aile Noire - Mistral le Tourbillon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1300,400,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Mistral le Tourbillon"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; l'ATK/DEF de la cible deviennent la moitié de son ATK/DEF actuelles.",Supports archetypes /Blackwing,,,Summon/Ignition,
85215458,Aile Noire - Kalut l'Ombre de la Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 3,1400,1000,,,,"Durant la Damage Step, lorsque votre monstre ""Aile Noire"" combat (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main au Cimetière ; jusqu'à la fin de ce tour, le monstre gagne 1400 ATK.",Supports archetypes /Blackwing,,Sends itself from hand to Graveyard for cost,Quick,
02980764,Lumière Sacrée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,0,0,,,,"Aucun joueur ne peut ni Invoquer Normalement ou Spécialement de monstres TÉNÈBRES ni déclarer d'attaque avec un monstre TÉNÈBRES. Cette carte ne peut pas être détruite au combat avec un monstre TÉNÈBRES, et aussi, vous ne recevez aucun dommage de combat de ce combat.",,DARK,,Continuous,
18964575,Attaque de l'Épouvantail,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque directe (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'attaque, puis terminez la Battle Phase.",,,Activates from your hand/Activates upon attack declaration/Discards itself for cost/Ends the Battle Phase,Quick,
61592395,Livre de Magie de l'Éternité,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 de vos Cartes Magie ""Livre de Magie"" bannies (""Livre de Magie de l'Éternité"" exclu) ; ajoutez la cible à votre main. Vous ne pouvez activer qu'1 ""Livre de Magie de l'Éternité"" par tour.",Supports archetypes /Spellbook,,Adds banished cards to the hand,Effect/Condition,
10719350,Formation Feu - Tensu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre Bête-Guerrier en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Tous les monstres Bête-Guerrier que vous contrôlez gagnent 100 ATK.",Beast-Warrior,,,Continuous-like,
73599290,Absorption d'Âme,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez en payant 1000 LP. Les monstres qui sont bannis, ainsi que les monstres dans le Cimetière, ne peuvent pas activer leurs effets.",,,,Cost/Continuous-like,
92944626,Ailes de la Flamme Malfaisante,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Normal],,,,,Niveau 2,700,600,,,,Ses ailes de feu en font une créature vraiment redoutable.,,,,,
79106360,Morphojarre N°2,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Flip／Effet],,,,,Niveau 3,800,700,,,,"FLIP : Mélangez tous les monstres sur le Terrain dans le Deck. Puis, chaque joueur dévoile des cartes du dessus de son Deck, jusqu'à dévoiler le même nombre de monstres qu'il a mélangés dans son Main Deck. Invoquez Spécialement tous les monstres de max. Niveau 4 dévoilés en Position de Défense face verso, et aussi, envoyez les cartes restantes au Cimetière.",,,Returns from your field to your Deck/Returns from your opponent's field to your opponent's Deck/Excavates from the player's Deck/Excavates from the opponent's Deck/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard/Sends from the top of your opponent's Deck to your opponent's Graveyard,Flip,
32362575,Marchand Ésotérique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Insecte/Flip／Effet],,,,,Niveau 1,200,700,,,,"FLIP : Dévoilez des cartes du dessus de votre Deck jusqu'à dévoiler une Magie/Piège, puis ajoutez la carte à votre main, et aussi, envoyez les cartes restantes au Cimetière.",,,Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard,Flip,
