Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
77936940,Gernia,Unlimited(OCG)/Unlimited(TCG),DARK,[Zombie/Effect],,,,,4,1300,1200,,,,"Once per turn, during your next Standby Phase after this face-up card you control was destroyed by an opponent's card effect and sent to your GY: Special Summon it from your GY.",,,Activates if destroyed by card effect/Activates from your Graveyard,Trigger,
80604091,Offrande Suprême,Forbidden(OCG)/Forbidden(TCG),PIÈGE,,,,,,,,,,,,"Durant votre Main Phase ou la Battle Phase de votre adversaire : vous pouvez payer 500 LP ; immédiatement après la résolution de cet effet, Invoquez/Posez Normalement 1 monstre.",,,,Quick-like/Lingering,
29401950,Trappe sans Fond,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire Invoque un ou plusieurs monstres avec min. 1500 ATK : détruisez ces monstres avec min. 1500 ATK, et si vous le faites, bannissez-les.",,,,Activation requirement/Effect,
22587018,Hydrogeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Effect],,,,,4,1600,1000,,,,"When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon 1 ""Hydrogeddon"" from your Deck.",,,Activates when it destroys a monster by battle,Trigger,
17375316,Confiscation,Forbidden(OCG)/Forbidden(TCG),SPELL,,,,,,,,,,,,"Pay 1000 Life Points. Look at your opponent's hand, select 1 card in it and discard that card.",,,Reveals your opponent's hand/Your opponent discards,Cost/Effect,
16556849,"Freed, le Vagabond Courageux",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1700,1200,,,,Retirez du jeu 2 monstres LUMIÈRE de votre Cimetière pour détruire 1 monstre face recto sur le Terrain avec une ATK supérieure à cette carte. Cet effet ne peut être activé qu'une fois par tour.,LIGHT,,,Ignition,
27174286,Retour de La Dimension Différente,Forbidden(OCG)/Forbidden(TCG),PIÈGE,,,,,,,,,,,,"Payez la moitié de vos LP ; Invoquez Spécialement autant de vos monstres bannis que possible. Durant la End Phase, bannissez tous les monstres qui ont été Invoqués Spécialement par cet effet.",,,,Activation requirement/Effect/Lingering,
79853073,Soldat Cipher (Actualisé de : Soldat Kinésique),Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1350,1800,,,,"Si cette carte combat un monstre de Type Guerrier, durant le calcul des dommages : durant ce calcul des dommages uniquement, cette carte gagne 2000 ATK/DEF.",,Warrior,,Trigger,
00050755,Cercle du Magicien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre Magicien déclare une attaque : chaque joueur Invoque Spécialement 1 monstre Magicien avec max. 2000 ATK depuis son Deck en Position d'Attaque.,Spellcaster,Spellcaster,Activates upon attack declaration,Activation requirement/Effect,
68005187,Bourse des Âmes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre contrôlé par votre adversaire ; ce tour, si vous Sacrifiez un monstre, vous devez Sacrifier la cible comme si vous le contrôliez. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",,,Tributes opponent's monsters/Cannot conduct Battle Phase,Effect/Condition,
57839750,Mère Grizzly,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Bête-Guerrier/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre EAU avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,WATER,,Activates from your Graveyard,Trigger,
47606319,Gigantes,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,4,1900,1300,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 EARTH monster from your GY. If this card is destroyed by battle and sent to the GY: Destroy all Spells and Traps on the field.,EARTH,,Activates if destroyed by battle/Activates from your Graveyard,Summon/Trigger,
95492061,Manju des Dix Mille Mains,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Monstre Rituel ou 1 Magie Rituelle depuis votre Deck à votre main.,Ritual Monster/Ritual Spell Card,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
98446407,Serviteur de Nephtys,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 2,600,600,,,,"Vous pouvez Sacrifier cette carte et 1 autre monstre ; Invoquez Spécialement 1 ""Phœnix Sacré de Nephtys"" depuis votre main ou Deck.",Sacred Phoenix of Nephthys,,Tributes itself for cost/Tributes for cost,Ignition,
12538374,Grenouille d'Arbre,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 1,100,100,,,,"Une fois par tour, durant votre Standby Phase, si cette carte est dans votre Cimetière et que vous ne contrôlez pas ""Grenouille d'Arbre"" : vous pouvez Invoquer Spécialement cette carte. Vous ne devez contrôler aucun Magie/Piège pour activer et résoudre cet effet.",,,Activates from your Graveyard,Trigger/Condition,
