Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
26593852,"Kalidor, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Synchro／Effet],,,,,Niveau 5,2200,1200,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Au début de la Damage Step, si cette carte combat un monstre non-TÉNÈBRES face recto : détruisez le monstre.",DARK,,,Trigger,
14087893,Le Livre de la Lune,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre face recto sur le Terrain ; changez la cible en Position de Défense face verso.,,,Flips monsters face-down/Changes battle positions,Effect,
21350571,Corne de la Bête Fantôme,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Ciblez 1 monstre Bête ou Bête-Guerrier que vous contrôlez ; équipez cette carte à la cible. Il gagne 800 ATK. Si le monstre équipé détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : piochez 1 carte.,Beast/Beast-Warrior,,Equips self from field/Activates when it destroys a monster by battle/You draw cards,Effect/Continuous-like/Trigger-like,
87259077,Guerrier Foudroyant,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Synchro／Effet],,,,,Niveau 7,2400,1200,,1 Syntoniseur + 1 monstre non-Syntoniseur ou plus,,Si cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : infligez 300 points de dommages à votre adversaire pour chaque carte dans la main de votre adversaire.,,,Activates when it destroys a monster by battle,Trigger,
83682725,Battement de Queue,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre Dinosaure de min. Niveau 5 que vous contrôlez ; si le monstre Dinosaure est toujours face recto sur le Terrain, choisissez max. 2 monstres contrôlés par votre adversaire qui ont un Niveau inférieur, ou qui sont face verso, et renvoyez les monstres choisis à la main.",Dinosaur,,Returns from your opponent's field to your opponent's hand,Effect,
37694547,Ville des Engrenages,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Chaque joueur peut Invoquer Normalement des monstres ""Rouages Ancients"" avec 1 Sacrifice en moins. Lorsque cette carte est détruite et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Rouages Ancients"" depuis votre main, Deck ou Cimetière.",Supports archetypes /Ancient Gear,,Activates if destroyed by card effect/Activates from your Graveyard,Continuous-like/Trigger-like,
06740720,Seiyaryu,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Dragon/Normal],,,,,7,2500,2300,,,,A mystical dragon that burns away the unworthy with its mystic flames.,,,,,
19406822,Kotodama,Unlimited(OCG)/Unlimited(TCG),EARTH,[Fairy/Effect],,,,,3,0,1600,,,,"If there are face-up monsters with the same name on the field, destroy those monsters. (If a monster is Summoned or flipped-face up that has the same name as a monster that is already face-up on the field, the new face-up monster is destroyed. If they are Summoned or flipped face-up at the same time, they are all destroyed.)",,,,Continuous,
14472500,Gokipon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Insect/Effect],,,,,2,800,800,,,,When this card is destroyed by battle and sent to the GY: You can add 1 Insect monster with 1500 or less ATK from your Deck to your hand.,Insect,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
10236520,"Goe Goe, le Ninja Courageux",Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 4,1500,1000,,,,Lorsque cette carte inflige des dommages de combat à votre adversaire : votre adversaire doit défausser 2 cartes au hasard. Votre adversaire doit avoir min. 5 cartes dans sa main pour résoudre et activer cet effet.,,,Your opponent discards,Trigger,
17266660,Héraut de la Lumière Écarlate,Limited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Syntoniseur／Effet],,,,,Niveau 2,300,500,,,,"Lorsque votre adversaire active un effet de monstre (Effet Rapide) : vous pouvez envoyer cette carte et 1 autre monstre Elfe depuis votre main au Cimetière ; annulez l'activation, et si vous le faites, détruisez-le.",Fairy,Effect Monster,Activates from your hand/Sends itself from hand to Graveyard for cost/Sends from hand to Graveyard for cost,Quick,
75498415,Aile Noire - Sirocco l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 5,2000,900,,,,"Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer/Poser Normalement cette carte sans Sacrifice. Une fois par tour, durant votre Main Phase 1 : vous pouvez cibler 1 monstre ""Aile Noire"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne une ATK égale à la somme des ATK de tous les autres monstres ""Aile Noire"" actuellement sur le Terrain (lui-même exclu), et aussi, le reste de ce tour, vous ne pouvez attaquer qu'avec le monstre.",Supports archetypes /Blackwing,Anti-supports archetypes /Blackwing,,Summon/Ignition/Condition,
