Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
65403020,La Fin d'Anubis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2500,0,,,,"Tant que cette carte est face recto sur le Terrain, toutes les cartes et tous les effets qui ciblent une ou plusieurs cartes dans le Cimetière ou qui s'activent dans le Cimetière sont annulés.",,,,Continuous,
39674352,Gogiga Gagagigo,Unlimited(OCG)/Unlimited(TCG),WATER,[Reptile/Normal],,,,,8,2950,2800,,,,"His soul long-since collapsed, his body recklessly continues onward, driven by a lust for more power. He no longer resembles his former self....",,,,,
66073051,Guerrier de Zera,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 4,1600,1600,,,,"Un guerrier errant à la recherche du Sanctuaire où obtenir le pouvoir des Seigneurs Ancestraux. Jour après jour, solitaire, il combat pour échapper aux tentations des démons maléfiques.",,,,,
39552864,Sphère Mystique Lumineuse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal],,,,,Niveau 2,500,500,,,,"Une âme de lumière recouverte d'une aura mystique. Si vous apercevez sa forme magnifique, votre souhait sera exaucé.",,,,,
65957473,Insecte Blindé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 8,2800,1500,,,,"Une gigantesque créature ressemblant à un insecte, recouverte d'une épaisse armure, et détruisant tout sur son chemin.",,,,,
91345518,"Saturne, Agent du Jugement",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 6,2400,0,,,,"Tant que vos LP sont supérieurs à ceux de votre adversaire : vous pouvez Sacrifier cette carte ; infligez des dommages à votre adversaire égaux à la différence. Vous devez contrôler ""Le Sanctuaire Céleste"" pour activer et résoudre cet effet. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cet effet.",The Sanctuary in the Sky,,Tributes itself for cost/Cannot conduct Battle Phase,Ignition,
38730226,"Mercure, Agent de la Sagesse",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,0,1700,,,,"Une fois par tour, durant votre Standby Phase, si vous contrôliez cette carte face recto dans votre Zone Monstre et que vous n'aviez aucune carte dans votre main à la fin du dernier tour de l'adversaire : piochez 1 carte.",,,You draw cards,Trigger,
64734921,"Vénus, Agent de la Création",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,1600,0,,,,"Vous pouvez payer 500 LP ; Invoquez Spécialement 1 ""Sphère Mystique Lumineuse"" depuis votre main ou Deck.",Mystical Shine Ball,,,Ignition,
91123920,"Mars, Agent de la Force",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,0,0,,,,"Non affectée ni par des Cartes Magie ni par des effets de Magie. Tant que vous contrôlez ""Le Sanctuaire Céleste"" et que vos LP sont supérieurs à ceux de votre adversaire, cette carte gagne une ATK/DEF égales à la différence.",,,,Continuous,
27618634,La Jeune Fille Malheureuse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 2,400,300,,,,"Tant que cette carte reste en Position d'Attaque face recto sur le Terrain, elle n' est pas détruite à l'issue d'un combat, bien que le calcul des dommages s'applique normalement. Un monstre qui a combattu cette carte ne peut plus changer sa position de combat ni attaquer tant que cette carte reste en Position d'Attaque face recto sur le Terrain.",,,Prevents Battle Position changes,Continuous,
63012333,Tour d'Ossements Buveuse d'Ames,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,400,1500,,,,"Si vous contrôlez un autre monstre de Type Zombie, votre adversaire ne peut pas cibler cette carte avec une attaque. Chaque fois qu'un ou plusieurs monstres de Type Zombie sont Invoqués Spécialement : envoyez les 2 cartes du dessus du Deck de votre adversaire au Cimetière.",Zombie,,Sends from your opponent's Deck to your opponent's Graveyard,Continuous/Trigger,
90407382,Le Botteur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,1300,300,,,,"Lorsque cette carte est Invoquée avec succés par Invocation Spéciale, vous pouvez l'équiper avec 1 Carte de Magie d'Equipement appropriée de votre Cimetière.",Equip Spell Card,,Places cards from Graveyard in Spell & Trap Zone,Trigger,
31812496,Statue de Pierre des Aztèques,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 4,300,2000,,,,Tous les dommages de combat que votre adversaire reçoit lorsqu'il attaque ce monstre sont doublés.,,,,Continuous,
53890795,Rocket Jumper,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,3,1000,800,,,,"If the only cards on your opponent's side of the field are Defense Position monsters, this card can attack your opponent's Life Points directly.",,,,Continuous,
99284890,Avatar du Pot,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 3,1200,1300,,,,"Envoyez 1 ""Pot de Cupidité"" de votre main dans le Cimetière pour piocher 3 cartes de votre Deck.",Pot of Greed,,Sends from hand to Graveyard/Sends from hand to Graveyard for cost/Sends from your hand to your Graveyard/You draw cards,Ignition,
30190809,"Gear Golem, La Forteresse Mobile",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 4,800,2200,,,,"Une fois par tour, durant votre Main Phase 1 : vous pouvez payer 800 LP ; ce tour, cette carte peut attaquer directement votre adversaire.",,,,Ignition,
98162242,Perceur à Epines,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 5,1700,1700,,,,"Lorsque cette carte détruit à l'issue d'un combat un monstre et l'envoie au Cimetière, infligez aux Life Points de votre adversaire des dommages égaux au Niveau du monstre détruit x 500 points.",,,Activates when it destroys a monster by battle,Trigger,
84550200,Brouilleur Sonique,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Flip／Effet],,,,,Niveau 2,350,650,,,,FLIP : Votre adversaire ne peut activer aucune Carte Magie jusqu'à la fin de la End Phase du prochain tour.,,,Activates upon being flipped face-up,Flip,
25551951,Dragon à Recul,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 6,2300,1200,,,,Une fois par tour : vous pouvez cibler 1 carte contrôlée par votre adversaire ; lancez une pièce 3 fois et détruisez la cible si min. 2 des résultats sont face.,,,,Ignition,
51945556,"Zaborg, Le Monarque du Tonnerre",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 5,2400,1000,,,,Si cette carte est Invoquée par Sacrifice : ciblez 1 monstre sur le Terrain ; détruisez la cible.,,,Activates upon Tribute Summon,Trigger,
87340664,Luciole Atomique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Insecte/Effet],,,,,Niveau 1,100,200,,,,Un joueur qui détruit cette carte face recto sur le Terrain à l'issue d'un combat reçoit 1000 points de dommages.,,,Activates from your Graveyard,Trigger,
24435369,Chevalier Sirène,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1500,700,,,,"Tant que ""Umi"" reste face recto sur le Terrain, cette carte peut attaquer 2 fois durant la même Battle Phase.",Umi,,,Continuous,
83228073,Deux Mille Aiguilles,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 5,2000,1800,,,,"Lorsque cette carte en Position de Défense est attaquée et que l'ATK du monstre attaquant est inférieure à la DEF de cette carte, détruisez le monstre attaquant après le calcul des dommages.",,,,Trigger,
55001420,L'Archer Obscur de la Forêt,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 3,900,1400,,,,Cette carte ne peut pas être attaquée s'il y a un monstre de Type Plante face recto sur votre Terrain. Sacrifiez 1 monstre de Type Plante sur votre Terrain pour détruire 1 Carte Magie ou Piège sur le Terrain.,Plant,,Tributes for cost,Continuous/Ignition,
81383947,Magicienne Blanche Pikeru,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Magicien/Effet],,,,,Niveau 2,1200,0,,,,"Durant votre Standby Phase, augmentez vos Life Points de 400 points pour chaque monstre sur votre Terrain.",,,,Trigger,
44762290,Armure de Camouflage Optique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Seul un monstre de Niveau 1 peut être équipé de cette carte. Un monstre équipé de cette carte peut attaquer directement les Life Points de votre adversaire.,,,,Condition/Continuous-like,
98045062,Contrôleur d'Ennemi,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Activez 1 de ces effets ;●Ciblez 1 monstre face recto contrôlé par votre adversaire ; changez la position de combat de la cible.●Sacrifiez 1 monstre, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Tributes for cost/Changes control/Changes battle positions,Condition/Effect/Cost,
17655904,Flot Rugissant de Destruction,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Dragon Blanc aux Yeux Bleus"" : détruisez tous les monstres contrôlés par votre adversaire. ""Dragon Blanc aux Yeux Bleus"" que vous contrôlez ne peut pas attaquer le tour où vous activez cette carte.",Blue-Eyes White Dragon,,,Activation requirement/Effect/Condition,
00303660,Amplificateur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Équipable uniquement à ""Jinzo"". L'activation et l'effet de cette carte ne peuvent pas être annulés. L'effet du monstre équipé ""Les Cartes Piège, et leurs effets sur le Terrain, ne peuvent pas être activés. Annulez tous les effets de Piège sur le Terrain."" devient ""Votre adversaire ne peut activer ni de Cartes Piège ni leurs effets sur le Terrain. Annulez tous les effets de Piège contrôlé par votre adversaire."" Lorsque cette carte quitte le Terrain, détruisez le monstre équipé.",Jinzo,,Overwrites card effects/Activates when it leaves the field/Activation cannot be negated/Effect that cannot be negated,Condition/Continuous-like,
10035717,Changement d'Arme,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Une fois uniquement durant chacune de vos Standby Phases, Vous pouvez payer 700 Life Points pour activer l'effet de cette carte. Echangez l'ATK et la DEF d'1 monstre de Type Guerrier ou Machine sur votre Terrain jusqu'à la fin du prochain tour de votre adversaire. Lorsque cette carte est détruite, l'effet est annulé.",Warrior/Machine,,,Trigger-like,
56433456,Le Sanctuaire Céleste,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Les dommages de combat infligés au contrôleur d'un monstre Elfe d'un combat impliquant le monstre deviennent 0.,Fairy,,,Continuous-like,
19312169,Talisman de Neutralisation de Piège,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Activez cette carte uniquement si vous contrôlez ""Meisei, Le Maître des Sceaux"". Les Cartes Piège, et leurs effets sur le Terrain, ne peuvent pas être activés. Annulez tous les effets de Piège sur le Terrain. Si vous ne contrôlez pas ""Meisei, Le Maître des Sceaux"", détruisez cette carte.",Sealmaster Meisei,,,Activation requirement/Continuous-like,
45311864,Voleur Gobelin,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Inflige 500 points de dommages aux Life Points de votre adversaire et augmente vos Life Points de 500 points.,,,,Effect,
82705573,Retour de Flamme,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Si un ou plusieurs monstres FEU face recto que vous contrôlez sont détruits et envoyés au Cimetière : infligez 500 points de dommages à votre adversaire.,FIRE,,,Trigger-like,
18190572,Micro Rayon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,La DEF d'1 monstre face recto sur le Terrain devient 0 jusqu'à la fin de ce tour.,,,,Effect,
44595286,Lumière du Jugement,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si ""Le Sanctuaire Céleste"" est sur le Terrain : défaussez 1 monstre LUMIÈRE au Cimetière ; appliquez 1 des effets suivants.●Regardez la main de votre adversaire et défaussez-lui 1 carte.●Envoyez 1 carte contrôlée par votre adversaire au Cimetière.",LIGHT/The Sanctuary in the Sky,,Discards for cost/Sends from your opponent's hand to your opponent's Graveyard/Sends from your opponent's field to your opponent's Graveyard/Reveals your opponent's hand,Activation requirement/Cost/Effect,
71983925,Talisman de Neutralisation de la Magie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activez cette carte uniquement si vous contrôlez ""Meisei, Le Maître des Sceaux"". Les Cartes Magie, et leurs effets sur le Terrain, ne peuvent pas être activés. Annulez tous les effets de Magie sur le Terrain. Si vous ne contrôlez pas ""Meisei, Le Maître des Sceaux"", détruisez cette carte.",Sealmaster Meisei,,,Activation requirement/Continuous-like,
17078030,Mur de Lumière Révélatrice,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque vous activez cette carte, payez un multiple de 1000 Life Points. Aucun des monstres de votre adversaire avec une ATK égale ou inférieure aux Life Points que vous avez payés ne peut attaquer.",,,,Cost/Continuous-like,
70861343,Art de la Métamorphose Nin-Jitsu,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en Sacrifiant 1 monstre ""Ninja"" face recto ; Invoquez Spécialement 1 monstre Bête/Bête Ailée/Insecte depuis votre main ou Deck, dont le Niveau est inférieur ou égal au Niveau que le monstre Sacrifié avait sur le Terrain +3. Lorsque cette carte quitte le Terrain, détruisez le monstre.",Supports archetypes /Ninja,,Tributes for cost,Cost/Effect/Continuous-like,
43250041,Bouclier Drainant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Si un monstre de l'adversaire déclare une attaque : ciblez le monstre attaquant ; annulez l'attaque, et si vous le faites, gagnez des LP égaux à l'ATK de la cible.",,,Activates upon attack declaration,Activation requirement/Effect,
79649195,Fracture d'Armure,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Annule l'activation d'une Carte Magie d'Equipement et la détruit.,,Equip Spell Card,,Effect,
53776525,Gigobyte,Unlimited(OCG)/Unlimited(TCG),WATER,[Reptile/Normal],,,,,1,350,300,,,,"He has a tranquil soul, but carries a destiny that one day his heart shall be tainted by evil....",,,,,
27288416,Mokey Mokey,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Fairy/Normal],,,,,1,300,100,,,,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.,,,,,
99171160,Kozaky,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Normal],,,,,1,400,400,,,,A workaholic fiend who devotes everything to his research into the languages of Dark World. His mind has collapsed because of working too hard.,,,,,
26566878,Scorpion Démoniaque,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Normal],,,,,Niveau 2,900,200,,,,"Un énorme scorpion habité par l'âme d'un démon. En général, il se maîtrise, mais il dispose d'un large potentiel inexploité.",,,,,
