Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
24530661,Maître Kyonshee,Unlimited(OCG)/Unlimited(TCG),TERRE,[Zombie/Normal],,,,,Niveau 4,1750,1000,,,,Un Kyonshee errant à la recherche d’un solide rival à défaire. Il est connu comme ayant été le maître de tous les arts martiaux.,,,,,
51934376,Kabazauls,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Normal],,,,,4,1700,1500,,,,A huge monster in the shape of a hippopotamus. The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.,,,,,
97923414,Inpachi,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Normal],,,,,4,1600,1900,,,,"A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.",,,,,
04335645,Newdoria,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,4,1200,800,,,,If this card is destroyed by battle and sent to the GY: Target 1 monster on the field; destroy that target.,,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
76052811,Helpoemer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,5,2000,1400,,,,"Cannot be Special Summoned from the GY. At the end of your opponent's Battle Phase, if this card is in the GY because it was destroyed by battle: Make your opponent discard 1 random card. This card must be in the GY to activate and to resolve this effect.",,,Activates from your Graveyard/Your opponent discards,Summon/Trigger/Condition,
26084285,Sentinelle des Protecteurs du Tombeau,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1000,1000,,,,"Durant le tour de chaque joueur, lorsque votre adversaire active une Carte Magie/Piège ou un effet de monstre qui le ferait défausser lors de sa résolution : vous pouvez envoyer cette carte depuis votre main au Cimetière ; annulez l'activation, et si vous le faites, détruisez-la/le.",,,Sends itself from hand to Graveyard for cost,Quick,
51351302,Un Homme avec Wdjat,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1600,1600,,,,"Lorsque vous faites l'Invocation Normale de cette carte et durant chacune de vos Standby Phases, sélectionnez 1 carte Posée sur le Terrain de votre adversaire. Prenez-la et regardez-la, puis retournez-la dans sa position d'origine.",,,Reveals face-down cards,Trigger,
98745000,Chevalier Mystique du Chacal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête-Guerrier/Effet],,,,,Niveau 7,2700,1200,,,,"Lorsque cette carte détruit 1 monstre sur le Terrain de votre adversaire à l'issue d'un combat et l'envoie au Cimetière de votre adversaire, vous pouvez renvoyer la carte sur le dessus du Deck de votre adversaire.",,,Returns from your opponent's Graveyard to your opponent's Deck,Trigger,
24140059,Un Chat de Mauvais Augure,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête/Flip／Effet],,,,,Niveau 2,500,300,,,,"FLIP : Choisissez 1 Piège depuis votre Deck et placez-le au-dessus de votre Deck, ou, si ""Vallée Mortuaire"" est sur le Terrain, vous pouvez ajouter le Piège à votre main à la place.",Necrovalley,,Activates upon being flipped face-up/Changes your Deck order/Places cards from your Deck on the top of the Deck/Adds from Deck to hand,Flip,
87523462,"Falcos, le Sage Ailé",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1700,1200,,,,Lorsque cette carte détruit un monstre de votre adversaire en Position d'Attaque face recto au combat et l'envoie au Cimetière de votre adversaire : vous pouvez placer le monstre au-dessus de son Deck.,,,Returns from your opponent's Graveyard to your opponent's Deck,Trigger,
