Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
47596607,Gratte-Ciel 2 - Ville du Héros,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Une fois par tour, durant votre Main Phase, si vous contrôlez cette carte : vous pouvez cibler 1 monstre ""HÉROS Élémentaire"" dans votre Cimetière qui a été détruit au combat et y a été envoyé ; Invoquez Spécialement la cible.",Supports archetypes /Elemental HERO,,,Ignition-like,
53493204,Déesse au 3ème Œil,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1200,1000,,,,"Cette carte peut être utilisée comme substitut pour 1 Matériel Fusion dont le nom est mentionné sur la Carte Monstre Fusion, mais les autres Matériels doivent être corrects.",Fusion Monster,,,Unclassified,
57116033,Kuriboh Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,300,200,,,,"Si cette carte sur le Terrain est détruite et envoyée au Cimetière : le reste de ce tour, vous ne recevez aucun dommage de combat.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Trigger,
86188410,"Cœur Farouche, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Non affectée par des effets de Piège.,,,,Continuous,
24094653,Polymérisation,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain.",,,,Effect,
74825788,H - Cœur Passionné,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto que vous contrôlez ; jusqu'à la fin de ce tour, il gagne 500 ATK, et s'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",,,,Effect,
37318031,R - Justice Vertueuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Détruisez un nombre de Magies/Pièges sur le Terrain égal au nombre de cartes ""HÉROS Élémentaire"" que vous contrôlez.",Supports archetypes /Elemental HERO,,,Effect,
08949584,Héros Vivant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous ne contrôlez aucun monstre face recto : payez la moitié de vos LP ; Invoquez Spécialement 1 monstre ""HÉROS Élémentaire"" de max. Niveau 4 depuis votre Deck.",Supports archetypes /Elemental HERO,,,Activation requirement/Cost/Effect,
80831721,Sabatier - La Pierre Philosophale,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous avez un monstre ""Kuriboh Ailé"" dans votre Cimetière : payez la moitié de vos LP ; ajoutez 1 Magie ""Polymérisation"" ou Magie ""Fusion"" depuis votre Deck à votre main. Si cette carte est dans votre Cimetière : vous pouvez bannir 3 exemplaires de ""Sabatier - La Pierre Philosophale"" depuis votre Cimetière, puis ciblez 1 monstre sur le Terrain ; jusqu'à la fin de ce tour, il gagne une ATK égale à l'ATK du monstre sur le Terrain avec la plus haute ATK (en cas d'égalité, vous choisissez).",Supports archetypes /Winged Kuriboh /Fusion /Polymerization ,,Adds from Deck to hand/Activates from your Graveyard,Activation requirement/Cost/Effect/Ignition-like,
19024706,Contre-attaque des Héros,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activable uniquement lorsqu'un monstre ""HÉROS Élémentaire"" que vous contrôlez est détruit au combat. Votre adversaire sélectionne 1 carte de votre main au hasard. Si cette carte est un monstre ""HÉROS Élémentaire"", détruisez 1 monstre contrôlé par votre adversaire, puis Invoquez Spécialement la carte sélectionnée.",Supports archetypes /Elemental HERO,,Reveals your hand for effect,Activation requirement/Effect,
55615891,"Homme-Oiseau Sauvage, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Fusion／Effet],,,,,Niveau 8,1900,2300,,"Cœur Farouche, HÉROS Élémentaire + ""Avian, HÉROS Élémentaire""",,"Ce monstre ne peut pas être Invoqué par Invocation Spéciale excepté par une Invocation Fusion. En défaussant 1 carte, détruisez 1 Carte Magie ou Piège sur le Terrain.",,,Discards for cost,Summon/Ignition,
45945685,Cycroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Normal],,,,,3,800,1000,,,,The most lovable and friendly of all the Vehicroids. It can arm itself with training wheels!,,,,,
18325492,Gyroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Machine/Effect],,,,,3,1000,1000,,,,"The first time this card would be destroyed by battle each turn, it is not destroyed.",,,,Continuous,
44729197,Steamroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Effect],,,,,4,1800,1800,,,,"If this card attacks an opponent's monster, this card gains 500 ATK during the Damage Step only. If this card is attacked by an opponent's monster, this card loses 500 ATK during the Damage Step only.",,,,Continuous,
71218746,Drillroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Effect],,,,,4,1600,1600,,,,"Before damage calculation, if this card attacks a Defense Position monster: Destroy that monster.",,,,Trigger,
07602840,UFOroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,6,1200,1200,,,,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 Machine-Type monster with 1500 or less ATK from your Deck in face-up Attack Position.",Machine,,Activates from your Graveyard,Trigger,
22512237,Chien de Meute Mécanique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 7,2800,1500,,,,"Tant que vous n'avez pas de carte dans votre main, votre adversaire ne peut pas activer de Carte Magie.",,,,Continuous,
00984114,Expressroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Effect],,,,,4,400,1600,,,,"When this card is Summoned: You can target 2 ""roid"" monsters in your GY, except ""Expressroid""; add those targets to your hand.",Supports archetypes /roid,,Adds from Graveyard to hand,Trigger,
36378213,Ambulanceroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Effect],,,,,3,300,1200,,,,"When a ""roid"" monster is added from your Graveyard to your hand, you can Special Summon that monster.",Supports archetypes /roid,,,Trigger,
98049038,Furtiroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1200,0,,,,"Si cette carte attaque, détruisez 1 Carte Magie ou Piège à la fin de la Battle Phase si vous contrôlez un autre monstre ""roid"".",Supports archetypes /roid,,,Trigger,
71340250,Mixeroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Machine/Effect],,,,,4,0,2200,,,,"You can Tribute 1 Machine monster; Special Summon 1 non-WIND ""roid"" monster from your Deck. You can pay half your LP and banish any number of Machine monsters from your GY, including this card; Special Summon from your Extra Deck, 1 ""roid"" Fusion Monster with the same Level as the number of those banished monsters, ignoring its Summoning conditions, but destroy it during the End Phase. You can only use each effect of ""Mixeroid"" once per turn.",Supports archetypes /roid,,Tributes for cost,Ignition/Condition,
10035717,Changement d'Arme,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Une fois uniquement durant chacune de vos Standby Phases, Vous pouvez payer 700 Life Points pour activer l'effet de cette carte. Echangez l'ATK et la DEF d'1 monstre de Type Guerrier ou Machine sur votre Terrain jusqu'à la fin du prochain tour de votre adversaire. Lorsque cette carte est détruite, l'effet est annulé.",Warrior/Machine,,,Trigger-like,
30683373,Destruction de Bouclier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre en Position de Défense sur le Terrain ; détruisez la cible.,,,,Effect,
23299957,Zone de Connexion Véhicroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion ""Véhicroid"" depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériels Fusion, et si vous le faites, il ne peut pas être détruit par des effets de carte, et ses effets ne peuvent pas être annulés.",Supports archetypes /Vehicroid,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Prevents the negation of card effects,Effect,
97705809,Super Charge,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire déclare une attaque tant que les seuls monstres que vous contrôlez sont des monstres ""roid"" de Type Machine : piochez 2 cartes.",Supports archetypes /roid,,Activates upon attack declaration/You draw cards,Activation requirement/Effect,
70628672,Appel Urgenceroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Magie/Piège ou un effet de monstre est activé tant que vous contrôlez un Monstre Fusion ""roid"" : annulez l'activation, puis envoyez toutes les cartes du même nom que la carte depuis le Deck et Extra Deck du joueur activant au Cimetière. Vous pouvez bannir cette carte depuis le Cimetière, puis ciblez 1 monstre ""roid"" dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser cet effet de ""Appel Urgenceroid"" qu'une fois par tour.",Supports archetypes /roid,,Sends from Deck to Graveyard/Sends from Extra Deck to Graveyard/Adds from Graveyard to hand,Activation requirement/Effect/Quick-like/Condition,
05368615,Steam Gyroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Fusion],,,,,6,2200,1600,,,,"Gyroid + ""Steamroid""",,,,,
36256625,Super Véhicroid Méga-Foreur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Fusion／Effet],,,,,Niveau 8,3000,2000,,"Steamroid + ""Drillroid"" + ""Sous-Marinroid""",,"Une Invocation Fusion de cette carte ne peut être réalisée qu'avec les Monstres-Matériels de Fusion ci-dessus. Durant un combat entre cette carte attaquant et un monstre en Position de Défense dont la DEF est inférieure à l'ATK de cette carte, infligez la différence en dommages de combat aux Life Points de votre adversaire.",,,,Summon/Continuous,
03897065,Super Véhicroid - Alliance Furtive,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Fusion／Effet],,,,,Niveau 9,3600,3000,,"Camionroid + ""Expressroid"" + ""Drillroid"" + ""Furtiroid""",,"Une fois par tour : vous pouvez cibler 1 monstre non-Machine face recto sur le Terrain ; équipez la cible à cette carte. Tant qu'elle est équipée avec un monstre par cet effet, cette carte peut attaquer une fois tous les monstres contrôlés par votre adversaire. Si cette carte attaque, son ATK d'origine est divisée par deux. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,Equips monsters from the player's field to itself/Equips monsters from the opponent's field to itself,Continuous/Ignition,
62397231,Hyozanryu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Dragon/Normal],,,,,7,2100,2800,,,,A dragon created from a massive diamond that sparkles with blinding light.,,,,,
22587018,Hydrogeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Effect],,,,,4,1600,1000,,,,"When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon 1 ""Hydrogeddon"" from your Deck.",,,Activates when it destroys a monster by battle,Trigger,
58071123,Oxygeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Dinosaur/Effect],,,,,4,1800,800,,,,If this card is destroyed by battle with a Pyro monster and sent to the GY: Each player takes 800 damage.,,Pyro,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
23927545,Protops Préhistorique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dinosaure/Effet],,,,,Niveau 4,1700,1200,,,,Cette carte gagne 100 ATK pour chaque monstre contrôlé par votre adversaire.,,,,Continuous,
15981690,Carboneddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Dinosaur/Effect],,,,,3,800,600,,,,"If this card battles a FIRE monster, during damage calculation: This card gains 1000 ATK during damage calculation only. You can banish this card from your GY; Special Summon, from your hand or Deck, 1 Level 7 or lower Dragon Normal Monster in face-up Defense Position. You can only use this effect of ""Carboneddon"" once per turn.",Dragon/Normal Monster,FIRE,,Trigger/Ignition/Condition,
93332803,"Dogoran, Kaiju des Flammes Enragées",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dinosaure/Effet],,,,,Niveau 8,3000,1200,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Une fois par tour : vous pouvez retirer 3 Compteurs Kaiju depuis le Terrain ; détruisez tous les monstres contrôlés par votre adversaire. Cette carte ne peut pas attaquer le tour où cet effet est activé.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Ignition,
43017476,Duoterion,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Effect],,,,,5,2000,1400,,,,"You can discard this card; add 1 ""Bonding"" Spell/Trap from your Deck to your hand. If this card is Normal or Special Summoned: You can target 1 ""Hydrogeddon"", ""Oxygeddon"", or ""Duoterion"" in your GY; Special Summon it. You can only use each effect of ""Duoterion"" once per turn.",Supports archetypes /Bonding,,Activates from your hand/Discards itself for cost/Adds from Deck to hand/Activates upon Normal Summon/Activates upon Special Summon,Ignition/Trigger/Condition,
34016756,Riryoku,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that lost ATK to the other monster. These effects last until the end of this turn.",,,,Effect/Condition,
10352095,Parchemin d'Ensorcellement,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Sélectionnez 1 Attribut lorsque vous Activez cette carte. Changez l'Attribut du monstre équipé par celui que vous avez sélectionné.,,,Declares an Attribute,Continuous-like,
00295517,Océan Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"(Cette carte est toujours traitée comme ""Umi"".)Tous les monstres EAU sur le Terrain gagnent 200 ATK/DEF. Réduisez le Niveau de tous les monstres EAU dans la main de chaque joueur et sur le Terrain de 1.",WATER,,,Condition/Continuous-like,
34959756,Fossile Vivant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement et équipez-le avec cette carte, mais bannissez-le lorsqu'il quitte le Terrain (même si cette carte quitte le Terrain). Lorsque cette carte quitte le Terrain, bannissez le monstre équipé. Le monstre équipé perd 1000 ATK/DEF, et aussi, ses effets sont annulés. Vous ne pouvez activer qu'1 ""Fossile Vivant"" par tour.",,,,Effect/Continuous-like/Condition,
58851034,Sceau Maudit de la Magie Interdite,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Magie est activée : défaussez 1 Magie ; annulez l'activation, et si vous le faites, détruisez-la, et si vous faites ça, votre adversaire ne peut pas activer des Cartes Magie de ce nom le reste de ce Duel.",,,Discards for cost,Activation requirement/Cost/Effect,
67284908,Mur du Labyrinthe,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 5,0,3000,,,,Ce mur forme un labyrinthe sans issue pour les ennemis.,,,,,
93889755,Clown Grossier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1350,1400,,,,Si cette carte en Position de Défense est changée en Position d'Attaque : ciblez 1 monstre contrôlé par votre adversaire ; renvoyez la cible à la main.,,,Activates if battle positions change/Returns from field to hand,Trigger,
13215230,Clown de Rêve,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 3,1200,900,,,,Si cette carte en Position d'Attaque est changée en Position de Défense face recto : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.,,,Activates if battle positions change,Trigger,
