Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
78193831,Buster Blader,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Effect],,,,,7,2600,2300,,,,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,,Dragon,,Continuous,
91996584,Corbeau à Fouet,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1650,1600,,,,Attaque du ciel avec une queue en forme de fouet.,,,,,
52860176,Âme Possédée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1200,800,,,,Vous pouvez Sacrifier cette carte face recto ; prenez le contrôle de tous les monstres face recto de max. Niveau 3 actuellement contrôlés par votre adversaire.,,,Tributes itself for cost/Changes control,Ignition,
25652259,Chevalier de la Reine,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Normal],,,,,Niveau 4,1500,1600,,,,"Cette femme chevalier prend ses adversaires au dépourvu, les dominant de ses attaques aussi gracieuses que rapides.",,,,,
64788463,Chevalier du Roi,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1600,1400,,,,"Lorsque cette carte est Invoquée Normalement tant que vous contrôlez ""Chevalier de la Reine"" : vous pouvez Invoquer Spécialement 1 ""Chevalier du Valet"" depuis votre Deck.",Queen's Knight/Jack's Knight,,Activates upon Normal Summon,Trigger,
90876561,Chevalier du Valet,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Normal],,,,,Niveau 5,1900,1000,,,,"Un maître épéiste doué. Sa loyauté va à la justice, son devoir va à la protection des faibles.",,,,,
06150044,Alakan le Chevalier Harlequin,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Fusion／Effet],,,,,Niveau 9,3800,2500,,"Chevalier de la Reine + ""Chevalier du Valet"" + ""Chevalier du Roi""",,"L'Invocation Fusion de cette carte ne peut être faite qu'avec les Matériels ci-dessus. Une fois par tour, lorsqu'une Carte Magie/Piège ou un effet de monstre qui cible cette carte face recto sur le Terrain est activé (Effet Rapide) : vous pouvez défausser le même type de carte (Monstre, Magie ou Piège) ; annulez l'effet.",Queen's Knight/Jack's Knight/King's Knight,,Discards for cost,Summon/Quick,
87880531,Diffusion Ondulatoire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"(Cette carte n'est pas traitée comme une carte ""Fusion"".)Si votre adversaire contrôle un monstre : payez 1000 LP, puis ciblez 1 monstre Magicien de min. Niveau 7 que vous contrôlez ; ce tour, il doit attaquer une fois tous les monstres contrôlés par votre adversaire, et aussi, les autres monstres que vous contrôlez ne peuvent pas attaquer. Les effets des monstres détruits par ces attaques ne peuvent pas être activés et sont annulés.",Spellcaster,,,Condition/Cost/Effect,
36045450,Unité des Magiciens,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez min. 2 monstres Magicien en Position d'Attaque : ciblez-en 1 ; son ATK devient 3000 jusqu'à la fin de ce tour, et aussi, le reste de ce tour après la résolution de cette carte, les autres monstres Magicien que vous contrôlez ne peuvent pas attaquer.",Spellcaster,,,Activation requirement/Effect,
68516705,Cavalier Mystique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Normal],,,,,Niveau 4,1300,1550,,,,"Mi-homme mi-cheval, ce monstre est réputé pour son extrême rapidité.",,,,,
23995346,Dragon Ultime aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Fusion],,,,,Niveau 12,4500,3800,,,,"Dragon Blanc aux Yeux Bleus + ""Dragon Blanc aux Yeux Bleus"" + ""Dragon Blanc aux Yeux Bleus""",,,,,
90660762,Dragon Noir Météore,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dragon/Fusion],,,,,Niveau 8,3500,2000,,,,"Dragon Noir aux Yeux Rouges + ""Dragon Météore""",,,,,
61405855,Épée de l'Âme du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre Guerrier. Il gagne 700 ATK. Après le calcul des dommages, si le monstre équipé a combattu un monstre Dragon : détruisez le monstre à la fin de la Battle Phase.",Warrior,Dragon,,Condition/Continuous-like/Trigger-like,
40465719,Charité de l'Homme Ordinaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Piochez 2 cartes, puis bannissez 1 Monstre Normal depuis votre main, ou, si vous n'en avez aucun dans votre main, envoyez toute votre main au Cimetière.",Normal Monster,,You draw cards/Sends from your hand to your Graveyard,Effect,
23401839,Senju aux Mille Mains,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Monstre Rituel depuis votre Deck à votre main.,Ritual Monster,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
22134079,Attaquant en Embuscade des Protecteurs du Tombeau,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1700,0,,,,"Lorsque cette carte est retournée face recto : vous pouvez cibler 1 carte dans le Cimetière de votre adversaire ; placez la cible au-dessous de son Deck. Si cette carte est envoyée depuis le Terrain au Cimetière après avoir été retournée face recto : vous pouvez cibler 1 carte ""Vallée Mortuaire"" dans votre Cimetière ; ajoutez la cible à votre main. Ces effets ne sont pas affectés par ""Vallée Mortuaire"".",Supports archetypes /Necrovalley ,,Activates upon being flipped face-up/Returns from your opponent's Graveyard to your opponent's Deck/Activates from your Graveyard/Adds from Deck to hand/Unaffected by specific cards,Trigger/Condition,
90434926,Voile des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Durant votre Draw Phase, si vous piochez un ou plusieurs monstres TÉNÈBRES : vous pouvez en révéler un nombre de votre choix ; envoyez-les au Cimetière, puis vous pouvez piocher 1 carte supplémentaire.",DARK,,Reveals your hand for cost/Sends from hand to Graveyard for cost/Sends from your hand to your Graveyard/You draw cards,Trigger-like,
31000575,Conscription,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TRAP,,,,,,,,,,,,"Excavate the top card of your opponent's Deck, and if it is a monster that can be Normal Summoned/Set, Special Summon it to your field. Otherwise, add that card to your opponent's hand.",,,Excavates from the opponent's Deck/Adds excavated cards to the hand/Exchanges cards/Adds from your opponent's Deck to your opponent's hand,Effect,
29491031,Tête Cheveux Serpent,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Normal],,,,,Niveau 4,1500,1200,,,,Monstre à tête de serpents venimeux. Un seul regard de ce monstre peut transformer son adversaire en pierre.,,,,,
