Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
56532353,Néo Dragon Ultime aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Fusion／Effet],,,,,Niveau 12,4500,3800,,"Dragon Blanc aux Yeux Bleus + ""Dragon Blanc aux Yeux Bleus"" + ""Dragon Blanc aux Yeux Bleus""",,"À la fin de la Damage Step, si cette carte Invoquée par Fusion a attaqué, et que c'est la seule carte face recto que vous contrôlez : vous pouvez envoyer 1 Monstre Fusion ""Yeux Bleus"" depuis votre Extra Deck au Cimetière ; cette carte peut attaquer une nouvelle fois à la suite. Vous pouvez utiliser cet effet de ""Néo Dragon Ultime aux Yeux Bleus"" deux fois par tour. Lorsqu'une carte ou un effet qui cible un ou plusieurs monstres ""Yeux Bleus"" que vous contrôlez est activé (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière ; annulez l'activation, et si vous le faites, détruisez la carte.",Supports archetypes /Blue-Eyes,,Sends from Extra Deck to Graveyard/Activates from your Graveyard,Trigger/Condition/Quick,
68299524,Dragon Pandémique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2500,1000,,,,Une fois par tour : vous pouvez payer des LP en multiples de 100 ; les autres monstres face recto sur le Terrain perdent autant d'ATK. Une fois par tour : vous pouvez cibler 1 monstre sur le Terrain dont l'ATK est inférieure ou égale à celle de cette carte ; détruisez-le. Si cette carte est détruite au combat ou par un effet de carte : tous les monstres face recto sur le Terrain perdent 1000 ATK.,,,Activates if destroyed by battle/Activates if destroyed by card effect,Ignition/Trigger,
95697223,Esprit de Combat du Dragon,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre de Type Dragon que vous contrôlez qui a été Invoqué Spécialement ce tour ; pour chaque monstre actuellement contrôlé par votre adversaire qui a été Invoqué Spécialement ce tour, il gagne 1 attaque supplémentaire durant chaque Battle Phase ce tour.",Dragon,,,Effect,
68077936,Explosion Provoquée,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'une ou plusieurs cartes que vous contrôlez sont détruites par un effet de Magie (sauf durant la Damage Step) : ciblez 1 carte contrôlée par votre adversaire ; détruisez-la. Durant le tour de chaque joueur, sauf le tour où cette carte a été envoyée au Cimetière, lorsqu'une ou plusieurs cartes que vous contrôlez sont détruites par un effet de Magie (sauf durant la Damage Step) : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 carte contrôlée par votre adversaire ; détruisez-la.",,,Activates if destroyed by card effect/Activates from your Graveyard,Activation requirement/Effect/Trigger-like,
94561645,Portail du Contre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque directe : annulez l'attaque, et si vous le faites, piochez 1 carte, puis si c'est un monstre, immédiatement après la résolution de cet effet, vous pouvez l'Invoquer Normalement en Position d'Attaque face recto.",,,Activates upon attack declaration/You draw cards,Activation requirement/Effect,
57354389,Soldat Sentinelle de Pierre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 3,1300,2000,,,,"Si tous les monstres que vous contrôlez sont des monstres de Type Rocher (min. 1) tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Soldat Sentinelle de Pierre"" qu'une fois par tour.",Rock,,Activates from your Graveyard,Ignition/Condition,
20747792,Magicienne des Baies,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 1,400,400,,,,"Si cette carte est Invoquée Normalement : vous pouvez ajouter 1 monstre ""Magicienne des"" depuis votre Deck à votre main. Une fois par tour, durant le tour de chaque joueur, lorsque votre adversaire active une carte ou un effet qui cible cette carte, ou cible cette carte avec une attaque : vous pouvez changer la position de combat de cette carte, et si vous le faites, Invoquez Spécialement 1 monstre ""Magicienne des"" (""Magicienne des Baies"" exclu) depuis votre Deck.",Supports archetypes /Magician Girl,,Activates upon Normal Summon/Adds from Deck to hand/Activates upon attack declaration/Changes battle positions,Trigger/Quick,
18809562,Porte du Contrat Magique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ajoutez 1 Carte Magie depuis votre main à la main de votre adversaire, puis ajoutez 1 monstre TÉNÈBRES de Niveau 7 ou 8 depuis votre Deck à votre main.",DARK,,Exchanges cards/Adds from Deck to hand,Effect,
54297661,Réflecteur Dimensionnel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en bannissant 2 monstres que vous contrôlez, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; Invoquez Spécialement cette carte en Position d'Attaque comme un Monstre à Effet (Type Magicien/TÉNÈBRES/Niveau 4/ATK ?/DEF ?) avec une ATK/DEF égales à l'ATK du monstre face recto. (Cette carte est toujours aussi une Carte Piège.) Si ce monstre est Invoqué de cette façon : infligez des dommages à votre adversaire égaux à l'ATK de cette carte.",,,,Cost/Effect/Trigger-like,
43959432,Métamorphorteresse,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre de min. Niveau 4 que vous contrôlez ; Invoquez Spécialement cette carte comme un Monstre à Effet (Type Rocher/TERRE/Niveau 4/ATK 1000/DEF 1000), puis équipez le monstre face recto à cette carte. (Cette carte est toujours aussi une Carte Piège.) Si elle est Invoquée de cette façon, cette carte gagne une ATK/DEF égales à l'ATK du monstre qui lui est équipé par cet effet, et aussi, si elle attaque, changez-la en Position de Défense à la fin de la Damage Step.",,,Changes battle positions,Effect/Continuous-like,
