Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
76794549,Sorcier Astrographe,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 7,2500,2000,,,,"Si une ou plusieurs cartes que vous contrôlez sont détruites au combat ou par un effet de carte : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez choisir 1 monstre dans le Cimetière, Extra Deck ou qui est banni, et qui a été détruit ce tour, et ajoutez 1 monstre du même nom depuis votre Deck à votre main. Vous pouvez bannir cette carte que vous contrôlez, plus 1 monstre ""Dragon Pendule"", 1 monstre ""Dragon Xyz"", 1 monstre ""Dragon Synchro"" et 1 monstre ""Dragon Fusion"" depuis votre main, Terrain et/ou Cimetière ; Invoquez Spécialement 1 ""Z-ARC, Roi Suprême"" depuis votre Extra Deck. (Ceci est traité comme Invocation Fusion.)",Supports archetypes /Fusion Dragon/Pendulum Dragon/Synchro Dragon/Xyz Dragon,,Places from hand to Pendulum Zone/Places from Deck to Pendulum Zone/Adds from Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Trigger/Ignition,
12289247,Sorcier Chronographe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 6,2000,1700,,,,"Si une ou plusieurs cartes que vous contrôlez sont détruites au combat ou par un effet de carte : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez Invoquer Spécialement 1 monstre depuis votre main. Vous pouvez bannir cette carte que vous contrôlez, plus 1 monstre ""Dragon Pendule"", 1 monstre ""Dragon Xyz"", 1 monstre ""Dragon Synchro"" et 1 monstre ""Dragon Fusion"" depuis votre main, Terrain et/ou Cimetière ; Invoquez Spécialement 1 ""Z-ARC, Roi Suprême"" depuis votre Extra Deck. (Ceci est traité comme une Invocation Fusion.)",Supports archetypes /Fusion Dragon/Pendulum Dragon/Synchro Dragon/Xyz Dragon,,Places from hand to Pendulum Zone/Places from Deck to Pendulum Zone/Activates if destroyed by battle/Activates if destroyed by card effect,Pendulum Effect /Ignition-like/Condition/Monster Effect/Trigger/Ignition,
49684352,Magicien Double Iris,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 4,1500,1000,,,,"(Cette carte est toujours traitée comme une carte ""Dragon Pendule"".)Si cette carte est détruite au combat ou par un effet de carte : vous pouvez ajouter 1 carte ""Pendulegraphe"" depuis votre Deck à votre main.",Supports archetypes /Pendulumgraph,,Activates if destroyed by battle/Activates if destroyed by card effect/Adds from Deck to hand,Pendulum Effect /Ignition-like/Monster Effect/Condition/Trigger,
75672051,Magicien Croc Noir,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 4,1700,800,,,,"(Cette carte est toujours traitée comme une carte ""Dragon Xyz"".)Si cette carte est détruite au combat ou par un effet de carte : vous pouvez cibler 1 monstre TÉNÈBRES de Type Magicien dans votre Cimetière ; Invoquez-le Spécialement.",DARK/Spellcaster,,Activates if destroyed by battle/Activates if destroyed by card effect,Pendulum Effect /Ignition-like/Monster Effect/Condition/Trigger,
11067666,Magicienne Aile Blanche,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Pendule／Syntoniseur／Effet],,,,,Niveau 4,1600,1400,,,,"(Cette carte est toujours traitée comme une carte ""Dragon Synchro"".)Si cette carte Invoquée par Pendulation est utilisée pour une Invocation Synchro, bannissez-la.",DARK/Spellcaster,,,Pendulum Effect /Continuous-like/Monster Effect/Condition,
72714461,Magicien Sage-Oeil,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1500,1500,,,,"Vous pouvez défausser cette carte, puis ciblez 1 carte dans votre Zone Pendule, dont l'Échelle Pendule actuelle est différente de son Échelle Pendule d'origine ; jusqu'à la fin de ce tour, son Échelle Pendule devient son Échelle Pendule d'origine.",Supports archetypes /Magician /Performapal,,Activates if other Pendulum Zone is occupied by specific card/Places from Deck to Pendulum Zone/Discards itself for cost,Pendulum Effect /Ignition-like/Monster Effect/Ignition,
80335817,Magicien Briseur du Temps,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 3,1400,0,,,,"Lorsque cette carte est Invoquée par Pendulation depuis la main (et qu'aucune autre carte n'est Invoquée par Pendulation en même temps) : vous pouvez faire devenir l'ATK de cette carte le double de son ATK d'origine. Une fois par tour : vous pouvez cibler 1 monstre sur le Terrain ; jusqu'à votre prochaine Standby Phase, bannissez-le ainsi que cette carte depuis le Terrain.",Pendulum Monster,,Activates upon Pendulum Summon/Returns banished cards to the field/Returns itself to the field while banished,Pendulum Effect /Continuous-like/Monster Effect/Trigger/Ignition,
43785278,Canon de Foucault,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Normal],,,,,Niveau 5,2200,1200,,,,"Une forme de vie mécanisée, errant à travers l'espace-temps. Étrangement, elle semble avoir presque perdu tou... sa mémoi... P...ur que...lle raison ? Refu... elle d'interf... avec ?",,,,Pendulum Effect /Trigger-like,
57624336,Eccentrick Archdémon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Pendule／Effet],,,,,Niveau 3,800,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez-le. Vous ne pouvez utiliser cet effet de ""Eccentrick Archdémon"" qu'une fois par tour.",,,Tributes itself for cost,Pendulum Effect /Ignition-like/Condition/Monster Effect/Ignition,
71490127,Miroir du Dragon,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion Dragon depuis votre Extra Deck, en bannissant des Matériels Fusion listés sur celui-ci depuis votre Terrain ou Cimetière.",Dragon/Fusion Monster,,Uses cards on the player's field as Fusion Materials/Uses cards in the player's Graveyard as Fusion Materials,Effect,
