Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
79856792,Dragon Arc-en-Ciel,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Effet],,,,,Niveau 10,4000,0,,,,"(Cette carte est toujours traitée comme une carte ""Cristal Ultime"".)Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant 7 cartes ""Bête Cristalline"" de noms différents sur votre Terrain et/ou Cimetière. Cette carte ne peut pas activer les effets suivants le tour où elle a été Invoquée Spécialement. (Effet Rapide) : vous pouvez envoyer tous les monstres ""Bête Cristalline"" que vous contrôlez au Cimetière ; cette carte gagne 1000 ATK pour chaque monstre envoyé au Cimetière. Vous pouvez bannir tous les monstres ""Bête Cristalline"" depuis votre Cimetière ; mélangez toutes les cartes sur le Terrain dans le Deck.",Supports archetypes /Crystal Beast,,Returns from your field to your Deck/Returns from your opponent's field to your opponent's Deck/Sends from field to Graveyard for cost,Summon/Quick/Ignition,
17363041,Oisillon Chrysalide,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 2,600,400,,,,"Vous pouvez Sacrifier cette carte tant que ""Néo-Space"" est sur le Terrain pour Invoquer Spécialement 1 ""Colibri Aérien Néo-Spacien"" depuis votre main ou votre Deck.",Neo Space/Neo-Spacian Air Hummingbird,,Tributes itself for cost,Ignition,
16241441,Larve Chrysalide,Unlimited(OCG)/Unlimited(TCG),FEU,[Insecte/Effet],,,,,Niveau 2,300,300,,,,"Vous pouvez Sacrifier cette carte tant que ""Néo-Space"" est sur le Terrain pour Invoquer Spécialement 1""Scarabée Flamboyant Néo-Spacien"" depuis votre main ou votre Deck.",Neo Space/Neo-Spacian Flare Scarab,,Tributes itself for cost,Ignition,
42239546,Taupe Chrysalide,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 2,700,100,,,,"Vous pouvez Sacrifier cette carte tant que ""Néo-Space"" est sur le Terrain pour Invoquer Spécialement 1 ""Taupe Géante Néo-Spacien"" depuis votre main ou votre Deck.",Neo Space/Neo-Spacian Grand Mole,,Tributes itself for cost,Ignition,
08062132,"Vénominaga, Déesse des Serpents Venimeux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 10,0,0,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Avènement du Dieu Serpent"" ou par son propre effet. Gagne 500 ATK pour chaque monstre Reptile dans votre Cimetière. Aucun joueur ne peut cibler cette carte avec des effets de carte, et aussi, elle n'est affectée ni par les autres cartes ni par leurs effets. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre monstre Reptile depuis votre Cimetière ; Invoquez Spécialement cette carte. Lorsque cette carte inflige des dommages de combat à votre adversaire : placez 1 Compteur Hyper-Venin sur elle. Lorsque le 3e Compteur Hyper-Venin est placé sur cette carte, vous gagnez le Duel.",Rise of the Snake Deity/Reptile,,Activates if destroyed by battle/Activates from your Graveyard/Activates when it inflicts battle damage,Summon/Continuous/Trigger/Condition,
72677437,"Vénominon, Roi des Serpents Venimeux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 8,0,0,,,,"Non Invocable Spécialement par l'effet d'un autre Monstre à Effet. Non affectée par ""Marais Venin"". Gagne 500 ATK pour chaque monstre Reptile dans votre Cimetière. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre monstre Reptile depuis votre Cimetière ; Invoquez Spécialement cette carte.",Reptile/Venom Swamp,,Activates from your Graveyard,Summon/Continuous/Trigger,
95888876,Empereur Dragon Chthonien,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Gémeau／Effet],,,,,Niveau 6,2400,1500,,,,"Cette carte est traitée comme un Monstre Normal lorsqu'elle est face recto sur le Terrain ou se trouve dans le Cimetière. Tant que cette carte est face recto sur le Terrain, vous pouvez l'Invoquer Normalement pour la transformer en Monstre à Effet avec l'effet suivant : ● Cette carte peut attaquer deux fois pendant la même Battle Phase.",,,,Unclassified/Condition/Continuous,
68762510,Joueur de Flûte Porte-Bonheur,Unlimited(OCG)/Unlimited(TCG),VENT,[Elfe/Gémeau／Effet],,,,,Niveau 4,1500,500,,,,"Cette carte est traitée comme un Monstre Normal lorsqu'elle est face recto sur le Terrain ou se trouve dans le Cimetière. Tant que cette carte est face recto sur le Terrain, vous pouvez l'Invoquer Normalement pour la transformer en Monstre à Effet avec l'effet suivant : ● Lorsque cette carte détruit un monstre adverse au combat et l'envoie au Cimetière, piochez 1 carte.",,,You draw cards,Unclassified/Condition/Trigger,
57827484,Émissaire de l'Ombre,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Gémeau／Effet],,,,,Niveau 4,1500,500,,,,"Cette carte est traitée comme un Monstre Normal lorsqu'elle est face recto sur le Terrain ou se trouve dans le Cimetière. Tant que cette carte est face recto sur le Terrain, vous pouvez l'Invoquer Normalement pour la transformer en Monstre à Effet avec l'effet suivant : ● Une fois par tour, vous pouvez sélectionner 1 monstre TÉNÈBRES face recto de niveau 4 ou moins dont vous prenez le contrôle. Il peut attaquer votre adversaire directement durant ce tour.",DARK,,,Unclassified/Condition/Ignition,
56605802,Criquet Fantôme,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Flip／Effet],,,,,Niveau 2,300,1000,,,,FLIP : Renvoyez 1 monstre face verso depuis le Terrain sur le dessus du Deck de son propriétaire.,,,Activates upon being flipped face-up/Places cards from the player's field on the top of the Deck/Returns from your opponent's field to your opponent's Deck,Flip,
