Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
44482554$Pan Queudragon$Unlimited(OCG)/Unlimited(TCG)$VENT$[Dragon/Effet]$$$$$Niveau 7$2700$1700$$$$Si cette carte est envoyée au Cimetière comme Matériel pour une Invocation Fusion : vous pouvez Poser 1 Magie/Piège "Queudragon" depuis votre Deck, puis vous pouvez détruire 1 monstre sur le Terrain. Si un ou plusieurs Monstres Fusion face recto que vous contrôlez sont détruits par un effet de carte de l'adversaire, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez placer cette carte au-dessous de votre Deck, et si vous le faites, Invoquez Spécialement 1 monstre non-Fusion "Queudragon" depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de "Pan Queudragon" qu'une fois par tour.$Supports archetypes /Dracotail$$Activates if used as Fusion Material/Activates if sent to the Graveyard/Sets from your Deck/Activates if destroyed by card effect/Activates from your Graveyard/Places itself from the player's Graveyard on the bottom of the Deck$Trigger/Condition$
33760966$Arthalion Queudragon$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Dragon/Fusion／Effet]$$$$$Niveau 8$3000$2500$$1 monstre "Queudragon" + 1+ monstre dans la main$$Si cette carte est Invoquée par Fusion : vous pouvez cibler un nombre de monstres sur le Terrain et/ou Cimetières, inférieur ou égal au nombre de monstres utilisés comme Matériel depuis la main ; renvoyez-les à la main. Si min. 2 monstres sont envoyés au Cimetière en même temps, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de "Arthalion Queudragon" qu'une fois par tour.$Supports archetypes /Dracotail$$Activates upon Fusion Summon/Returns from field to hand/Returns from Graveyard to hand/Activates if other cards are sent to the Graveyard/Activates from your Graveyard$Trigger/Condition$
69932023$Corne Queudragon$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Ciblez 1 monstre en Position d'Attaque sur le Terrain ; renvoyez-le à la main/Extra Deck, puis vous pouvez placer 1 carte "Queudragon" ("Corne Queudragon" exclu) depuis votre Cimetière ou bannissement au-dessous du Deck, puis piochez 1 carte. Vous ne pouvez activer qu'1 "Corne Queudragon" par tour.$Supports archetypes /Dracotail$$Returns from field to hand/Returns from field to Extra Deck/Places cards from the player's Graveyard on the bottom of the Deck/Places the player's banished cards on the bottom of the Deck/You draw cards$Effect/Condition$
61173621$Chaîne du Lutin Tranchant$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 4$1200$1800$$$$Lorsque cette carte déclare une attaque : vous pouvez ajouter 1 "Chaîne du Lutin Tranchant" depuis votre Deck à votre main. Si cette carte est envoyée depuis la main ou Terrain au Cimetière : vous pouvez ajouter 1 carte "Frourreur" depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de "Chaîne du Lutin Tranchant" par tour, et uniquement une fois le tour.$Supports archetypes /Frightfur$$Activates upon attack declaration/Adds from Deck to hand/Adds copies of itself to hand/Activates from your Graveyard$Trigger/Condition$
13735899$Mystérion le Dragon Couronne$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Magicien/Fusion／Effet]$$$$$Niveau 8$3000$1500$$1 monstre Magicien + 1 monstre Dragon$$Non utilisable comme Matériel Fusion. Perd 100 ATK pour chacune de vos cartes bannies. Si un monstre utilise son effet activé pour s'Invoquer Spécialement, ou Invoquer Spécialement un ou plusieurs monstres du même Type d'origine (sauf durant la Damage Step) : vous pouvez cibler 1 de ces monstres Invoqués Spécialement ; bannissez le monstre, et aussi, bannissez tous les monstres depuis le Terrain du même Type d'origine. Vous ne pouvez utiliser cet effet de "Mystérion le Dragon Couronne" qu'une fois par tour.$Dragon/Spellcaster$$Activates upon Special Summon$Continuous/Trigger/Condition$
24094653$Polymérisation$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain.$$$$Effect$
34773082$Patchwork Frourreur$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Ajoutez 1 monstre "Lutin Tranchant" et 1 "Polymérisation" depuis votre Deck à votre main. Vous ne pouvez activer qu'1 "Patchwork Frourreur" par tour.$Supports archetypes /Edge Imp$$Adds from Deck to hand$Effect/Condition$
31425736$Coupy☆Miammy$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Bête/Effet]$$$$$Niveau 1$0$1600$$$$Si vous contrôlez un monstre Link-1 ou un Monstre Synchro de Niveau 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement "Coupy☆Miammy" qu'une fois par tour de cette façon. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte "Miammy" ("Coupy☆Miammy" exclu) depuis votre Deck à votre main, ou, si cette carte a été Invoquée Spécialement par l'effet d'un Monstre Synchro, vous pouvez piocher 1 carte à la place. Vous ne pouvez utiliser cet effet de "Coupy☆Miammy" qu'une fois par tour.$Supports archetypes /Yummy$$Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/You draw cards$Unclassified/Condition/Trigger/Condition$
68810435$Cooky☆Miammy$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Bête/Effet]$$$$$Niveau 1$1000$0$$$$Si vous contrôlez un monstre Link-1 ou un Monstre Synchro de Niveau 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement "Cooky☆Miammy" qu'une fois par tour de cette façon. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; il perd 1000 ATK, ou, si cette carte a été Invoquée Spécialement par l'effet d'un Monstre Synchro, vous pouvez détruire le monstre à la place. Vous ne pouvez utiliser cet effet de "Cooky☆Miammy" qu'une fois par tour.$Synchro Monster$$Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon$Unclassified/Condition/Trigger/Condition$
31603289$Coupy★Voie du Miammy$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Bête/Synchro／Syntoniseur／Effet]$$$$$Niveau 2$0$2200$$1 Syntoniseur + 1 monstre non-Syntoniseur$$Pour l'Invocation Synchro de cette carte, vous pouvez traiter 1 monstre Link-1 que vous contrôlez comme Syntoniseur de Niveau 1. Vous ne pouvez utiliser chacun des effets suivants de "Coupy★Voie du Miammy" qu'une fois par tour. Si cette carte est Invoquée par Synchronisation : vous pouvez ajouter 2 monstres "Miammy" depuis votre Deck à votre main, puis défaussez 1 carte. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez renvoyer cette carte à l'Extra Deck ; Invoquez Spécialement max. 2 monstres "Miammy" depuis votre Cimetière.$Supports archetypes /Yummy$$Activates upon Synchro Summon/Adds from Deck to hand/You discard/Returns itself from field to Extra Deck for cost$Condition/Condition/Trigger/Quick$
67098897$Cooky★Voie du Miammy$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Bête/Synchro／Syntoniseur／Effet]$$$$$Niveau 2$1600$0$$1 Syntoniseur + 1 monstre non-Syntoniseur$$Pour l'Invocation Synchro de cette carte, vous pouvez traiter 1 monstre Link-1 que vous contrôlez comme Syntoniseur de Niveau 1. Vous ne pouvez utiliser chacun des effets suivants de "Cooky★Voie du Miammy" qu'une fois par tour. Si cette carte est Invoquée par Synchronisation : vous pouvez cibler max. 2 monstres face recto sur le Terrain ; changez-les en Position de Défense face verso. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez renvoyer cette carte à l'Extra Deck ; Invoquez Spécialement max. 2 monstres "Miammy" depuis votre Cimetière.$Supports archetypes /Yummy$$Activates upon Synchro Summon/Changes battle positions/Flips monsters face-down/Returns itself from field to Extra Deck for cost$Condition/Condition/Trigger/Quick$
