Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
50319138$Bogue Z$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 3$0$1500$$$$Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 "Bogue Y" depuis votre Deck. Vous devez contrôler "Bogue X" face recto pour activer et résoudre cet effet.$Crashbug X/Crashbug Y$$$Trigger$
59297550$Magicien Automate$Unlimited(OCG)/Unlimited(TCG)$FEU$[Magicien/Effet]$$$$$Niveau 4$600$1800$$$$Si l'effet d'un monstre "Automate" ("Magicien Automate" exclu) est activé : vous pouvez Invoquer Spécialement 1 monstre "Automate" de max. Niveau 4 depuis votre Deck en Position de Défense face recto. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain.$Supports archetypes /Wind-Up$$$Trigger$
58475908$Escargot Automate$Unlimited(OCG)/Unlimited(TCG)$EAU$[Aqua/Effet]$$$$$Niveau 2$100$2000$$$$Durant votre Main Phase : vous pouvez cibler 1 carte Posée sur le Terrain ; renvoyez la cible à la main. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain.$$$Returns from field to hand$Ignition$
84569017$Soldat Marlin$Unlimited(OCG)/Unlimited(TCG)$VENT$[Serpent de Mer/Effet]$$$$$Niveau 4$1700$1100$$$$Cette carte gagne 100 ATK pour chacun de vos monstres de Type Poisson/Serpent de Mer/Aqua bannis.$Fish/Sea Serpent/Aqua$$$Continuous$
09897998$Gusto Codor$Unlimited(OCG)/Unlimited(TCG)$WIND$[Winged Beast/Effect]$$$$$3$1000$400$$$$When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can Special Summon 1 WIND Psychic-Type monster with 1500 or less DEF from your Deck.$WIND/Psychic$$$Trigger$
45282603$Saambell l'Invocatrice$Unlimited(OCG)/Unlimited(TCG)$VENT$[Magicien/Effet]$$$$$Niveau 2$600$400$$$$Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre du même Niveau que cette carte depuis votre main. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain.$$$$Ignition$
71786742$Geargiano$Unlimited(OCG)/Unlimited(TCG)$EARTH$[Machine/Effect]$$$$$3$500$1000$$$$You can Tribute this card, then target 1 Level 4 Machine-Type monster in your Graveyard; Special Summon it, but its effects are negated.$Machine$$Tributes itself for cost$Ignition$
08175346$Poki Draco$Unlimited(OCG)/Unlimited(TCG)$FIRE$[Dragon/Effect]$$$$$3$200$100$$$$When this card is Normal Summoned: You can add 1 "Poki Draco" from your Deck to your hand.$$$Activates upon Normal Summon/Adds from Deck to hand/Adds copies of itself to hand$Trigger$
34160055$Maître des Épées Dragon de Feu$Unlimited(OCG)/Unlimited(TCG)$FEU$[Guerrier/Effet]$$$$$Niveau 4$1800$1200$$$$Lorsqu'un monstre ("Maître des Épées Dragon de Feu" exclu) est Invoqué Normalement sur votre Terrain : vous pouvez augmenter le Niveau de ce monstre de 1, et jusqu'à la End Phase, cette carte gagne 300 ATK.$$$Activates upon Normal Summon$Trigger$
71564150$Marionnettiste de l'Enfer$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 7$2700$500$$$$Une fois par tour : vous pouvez défausser 1 carte ; jusqu'à la End Phase, prenez le contrôle de tous les monstres de max. Niveau 3 face recto contrôlés par votre adversaire. Ces monstres ne peuvent ni activer leurs effets, ni être Sacrificiés, ni être utilisés comme Monstre-Matériel de Synchro.$$$Discards for cost/Changes control/Cannot be Tributed$Ignition$
07953868$Oni au Sang Bleu$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Zombie/Effet]$$$$$Niveau 4$1000$1700$$$$Lorsque cette carte est Invoquée Normalement ou par Flip : elle est changée en Position de Défense. Une fois par tour : vous pouvez détacher 1 Matériel Xyz que vous contrôlez pour cibler 1 monstre de Type Zombie de Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible.$Xyz Monster/Zombie$$Activates upon Normal Summon/Activates upon Flip Summon/Changes battle positions/Detaches Xyz Materials for cost$Trigger/Ignition$
33347467$Bateau Fantôme$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Démon/Effet]$$$$$Niveau 5$1900$1000$$$$Ni Invocable Normalement ni Posable. Doit d'abord être Invoquée Spécialement depuis votre main en bannissant 1 monstre LUMIÈRE depuis votre Cimetière.$LIGHT$$$Summon$
06836211$Le Grand Empereur Pingouin$Unlimited(OCG)/Unlimited(TCG)$EAU$[Aqua/Effet]$$$$$Niveau 5$1800$1500$$$$Vous pouvez Sacrifier cette carte ; Invoquez Spécialement max. 2 monstres "Pingouin" ("Le Grand Empereur Pingouin" exclu) depuis votre Deck.$Supports archetypes /Penguin$$Tributes itself for cost$Ignition$
33225925$Milla la Magicienne Temporelle$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 4$1800$1000$$$$Lorsque cette carte est Invoquée Normalement : ciblez 1 carte Posée contrôlée par votre adversaire ; regardez-la. Votre adversaire ne peut pas activer de Cartes Magie/Piège en réponse à l'activation de cet effet.$$$Activates upon Normal Summon/Reveals face-down cards$Trigger$
69610924$Numéro 17 : Dragon Léviathan$Unlimited(OCG)/Unlimited(TCG)$EAU$[Dragon/Xyz／Effet]$$$Rang 3$$$2000$0$$2 monstres de Niveau 3$$Ne peut pas attaquer directement sauf si elle a du Matériel. Une fois par tour : vous pouvez détacher 1 Matériel de cette carte ; elle gagne 500 ATK.$$$$Ignition/Continuous$
05014629$Porte-Submersibles Aéro Requin$Unlimited(OCG)/Unlimited(TCG)$EAU$[Poisson/Xyz／Effet]$$$Rang 3$$$1900$1000$$2 monstres de Niveau 3$$Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte ; infligez 100 points de dommages à votre adversaire pour chacun de vos monstres bannis.$$$$Ignition$
95992081$Leviair le Dragon des Mers$Unlimited(OCG)/Unlimited(TCG)$VENT$[Aqua/Xyz／Effet]$$$Rang 3$$$1800$1600$$2 monstres de Niveau 3$$Une fois par tour : vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre de max. Niveau 4 banni ; Invoquez Spécialement la cible sur votre Terrain.$$$$Ignition$
31386180$Tiras, Gardien de la Genèse$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Elfe/Xyz／Effet]$$$Rang 5$$$2600$1700$$2 monstres de Niveau 5$$Les effets de cette carte peuvent uniquement être appliqués/résolus tant qu'elle a du Matériel Xyz. Cette carte ne peut pas être détruite par des effets de carte. À la fin de la Battle Phase, si cette carte a attaqué ou a été attaquée : ciblez 1 carte contrôlée par votre adversaire ; détruisez la cible. Durant chacune de vos End Phases : détachez 1 Matériel Xyz de cette carte.$$$Applies effects if Xyz Material is attached/Detaches Xyz Materials for effect$Condition/Continuous/Trigger$
94770493$Quitte ou Double !$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Lorsqu'une attaque de monstre est annulée : ciblez le monstre ; il peut faire une seconde attaque durant cette Battle Phase, et s'il le fait, son ATK est doublée durant la Damage Step uniquement.$$$$Activation requirement/Effect$
33057951$Surface$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$SPELL$$$$$$$$$$$$Target 1 Level 3 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it in Defense Position.$Fish/Sea Serpent/Aqua$$$Effect$
69042950$Route du Bogue$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Chaque joueur peut Invoquer Spécialement 1 monstre du même Niveau qu'1 monstre de max. Niveau 4 face recto qu'il contrôle depuis sa main.$$$$Effect$
06430659$Courrier Infecté$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Une fois par tour : vous pouvez cibler 1 monstre de max. Niveau 4 que vous contrôlez ; ce tour, il peut attaquer directement votre adversaire. À la fin de la Battle Phase, envoyez-le au Cimetière.$$$Sends from your field to your Graveyard$Ignition-like$
32835363$Fracture$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Une fois par tour, lorsqu'un ou plusieurs monstres sont envoyés depuis le Terrain au Cimetière par un effet de carte : infligez 800 points de dommages aux propriétaires respectifs des monstres.$$$$Trigger-like$
69320362$Clé Légendaire des Automates$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Changez tous les monstres "Automate" face recto que vous contrôlez en Position de Défense face verso.$Supports archetypes /Wind-Up$$Flips monsters face-down$Effect$
95714077$Usine des Automates$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Une fois par tour, si un effet de monstre "Automate" est activé (sauf durant la Damage Step) : vous pouvez ajouter 1 monstre "Automate" de max. Niveau 4 depuis votre Deck à votre main.$Supports archetypes /Wind-Up$Anti-supports archetypes /Wind-Up$Adds from Deck to hand$Trigger-like$
32703716$Poissons Carnivores$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Si vous avez min. 3 monstres de Type Poisson/Serpent de Mer/Aqua bannis : ciblez 1 carte sur le Terrain ; bannissez-la.$Fish/Sea Serpent/Aqua$$$Effect$
27980138$Plume de Gulldos$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Ciblez 2 monstres VENT dans votre Cimetière et 1 carte sur le Terrain ; mélangez les 2 premières cibles dans votre Deck, et si vous le faites, renvoyez l'autre à la main.$WIND$$Returns from your Graveyard to your Deck/Returns from field to hand$Effect$
26864586$Système de Résonance$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Ciblez 2 monstres face recto que vous contrôlez du même Type et Attribut ; jusqu'à la End Phase, changez le Niveau d'un des monstres au Niveau de l'autre.$$$$Effect$
99657399$Négligence est Notre Pire Ennemie$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Lorsque votre adversaire gagne des Life Points : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.$$$Activates if your opponent gains LP$Activation requirement/Effect$
52140003$Oursin Explosif$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Activable uniquement lorsque votre adversaire active une Carte Piège. Durant votre Standby Phase : infligez 1000 points de dommages à votre adversaire. Votre adversaire doit contrôler une Carte Piège face recto pour pouvoir activer et résoudre cet effet. Durant votre 3e End Phase après activation, envoyez cette carte au Cimetière.$$Trap Card$Sends itself from field to Graveyard$Activation requirement/Trigger-like/Condition/Continuous-like$
51324455$Couvée d'Œufs Démoniaques$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Lorsqu'un monstre de Type Poisson/Serpent de Mer/Aqua face recto que vous contrôlez est banni : ajoutez 1 monstre de Type Poisson/Serpent de Mer/Aqua de max. Niveau 4 depuis votre Deck à votre main.$Fish/Sea Serpent/Aqua$$Adds from Deck to hand$Activation requirement/Effect$
87313164$Oh Requ!n !$Unlimited(OCG)/Unlimited(TCG)$PIÈGE$$$$$$$$$$$$Lorsqu'un effet de monstre est activé : mélangez 1 de vos monstres Poisson, Serpent de Mer ou Aqua bannis dans le Main Deck ; annulez l'activation, et si vous le faites, détruisez le monstre.$Fish/Sea Serpent/Aqua$$Returns the player's banished cards to the Deck for cost$Activation requirement/Cost/Effect$
