Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
92125819$Artorigus le Chevalier Noble$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Guerrier/Normal]$$$$$Niveau 4$1800$1800$$$$Le secret concernant ce jour fatidique,Personne ne doit en avoir connaissance.Artorigus pénétra en ce lieu fantastique,L'enceinte de cette épée de bienveillance.Ce fut la genèse d'un homme adorée de tous,Le légendaire brave et noble Artorigus.- Extrait de l'Histoire des Chevaliers Nobles$$$$$
13140300$Sceau Hiératique du Seigneur Dragon Soleil$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Normal]$$$$$Niveau 8$0$0$$$$Une mystérieuse relique hiératique. C'était à l'origine une simple pierre, mais celle-ci fut injectée avec le pouvoir d'un dragon capable de contrôler le soleil. Des éons passèrent et le pouvoir de la relique grandit jusqu'à briller comme le soleil.$$$$$
81816475$Mangeur Habillé$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Reptile/Effet]$$$$$Niveau 2$300$800$$$$Vous pouvez bannir cette carte depuis votre Cimetière ; prenez 1 Matériel Xyz d'un monstre contrôlé par votre adversaire et attachez-le comme Matériel Xyz à un Monstre Xyz que vous contrôlez.$Xyz Monster$Xyz Monster$Activates from your Graveyard/Detaches Xyz Materials for effect/Attaches as Xyz Material/Exchanges cards$Ignition$
43573231$Espillon Morpho$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Guerrier/Effet]$$$$$Niveau 4$1200$1600$$$$Une fois par tour, lorsque la position de combat d'un ou plusieurs monstres de votre adversaire est changée (sauf durant la Damage Step) : vous pouvez cibler un de ces monstres ; il perd 1000 ATK/DEF.$$$Activates if battle positions change$Trigger$
79972330$Espillon Machaon$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Guerrier/Effet]$$$$$Niveau 4$1800$1200$$$$Lorsqu'un autre monstre que vous contrôlez inflige des dommages de combat à votre adversaire : ciblez 1 monstre face recto contrôlé par votre adversaire ; il perd une ATK égale aux dommages de combat infligés.$$$Activates when it inflicts battle damage$Trigger$
79850798$Flèche Roquette Express$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Machine/Effet]$$$$$Niveau 10$5000$0$$$$Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement (depuis votre main) en ne contrôlant aucune carte et non Invocable Spécialement autrement. Vous ne pouvez pas mener votre Battle Phase le tour où vous Invoquez Spécialement cette carte. Vous ne pouvez ni activer de cartes ou d'effets ni Poser de cartes. Durant chacune de vos Standby Phases, détruisez cette carte sauf si vous envoyez toute votre main au Cimetière (min. 1).$$$Cannot conduct Battle Phase/Prevents your Sets/Sends from your hand to your Graveyard$Summon/Condition/Continuous/Maintenance cost$
41639001$Dragon Hiératique de Nuit$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 4$1700$900$$$$Une fois par tour, durant le tour de chaque joueur, lorsque cette carte face recto sur le Terrain est ciblée par une Carte Magie/Piège ou un effet de carte : Invoquez Spécialement 1 Monstre Normal de Type Dragon depuis votre main, Deck ou Cimetière, et son ATK/DEF deviennent 0.$Dragon/Normal Monster$$$Quick$
78033100$Dragon Hiératique de Gebeb$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 4$1800$400$$$$Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : Invoquez Spécialement 1 Monstre Normal de Type Dragon depuis votre main, Deck ou Cimetière, et son ATK/DEF deviennent 0. Lorsque cette carte est Sacrifiée : Invoquez Spécialement 1 Monstre Normal "Hiératique" depuis votre main, Deck ou Cimetière.$Supports archetypes /Hieratic$$Activates when it destroys a monster by battle/Activates if Tributed$Trigger$
04022819$Dragon Hiératique d'Eset$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 5$1900$1200$$$$Vous pouvez Invoquer Normalement cette carte sans Sacrifice, mais son ATK d'origine devient 1000. Une fois par tour : vous pouvez cibler 1 Monstre Normal Dragon face recto sur le Terrain ; jusqu'à la End Phase, le Niveau de tous les monstres "Hiératique" face recto actuellement sur le Terrain devient le Niveau du monstre. Lorsque cette carte est Sacrifiée : Invoquez Spécialement 1 Monstre Normal Dragon depuis votre main, Deck ou Cimetière, et faites devenir 0 son ATK/DEF.$Supports archetypes /Hieratic$$Activates if Tributed$Summon/Ignition/Trigger$
31516413$Dragon Hiératique de Nebthet$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 5$2000$1600$$$$Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 monstre "Hiératique". Une fois par tour : vous pouvez Sacrifier 1 monstre "Hiératique" (cette carte exclue) depuis votre main ou votre Terrain pour cibler 1 monstre contrôlé par votre adversaire ; détruisez la cible. Lorsque cette carte est Sacrifiée : Invoquez Spécialement 1 Monstre Normal de Type Dragon depuis votre main, Deck ou Cimetière, et son ATK/DEF deviennent 0.$Supports archetypes /Hieratic$$Tributes for cost/Activates if Tributed$Summon/Ignition/Trigger$
77901552$Dragon Hiératique de Tefnuit$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 6$2100$1400$$$$Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Ne peut pas attaquer durant le tour où elle est Invoquée Spécialement de cette façon. Lorsque cette carte est Sacrifiée : Invoquez Spécialement 1 Monstre Normal Dragon depuis votre main, Deck ou Cimetière, et faites devenir 0 son ATK/DEF.$Dragon/Normal Monster$$Activates if Tributed$Summon/Condition/Trigger$
03300267$Dragon Hiératique de Su$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 6$2200$1000$$$$Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 monstre "Hiératique". Une fois par tour : vous pouvez Sacrifier 1 monstre "Hiératique" (cette carte exclue) depuis votre main ou votre Terrain pour cibler 1 Carte Magie/Piège contrôlée par votre adversaire ; détruisez la cible. Lorsque cette carte est Sacrifiée : Invoquez Spécialement 1 Monstre Normal de Type Dragon depuis votre main, Deck ou Cimetière, et son ATK/DEF deviennent 0.$Supports archetypes /Hieratic$$Tributes for cost/Activates if Tributed$Summon/Ignition/Trigger$
